,prices,market_caps,total_volumes
190,"[1634083200000, 56335.035460511535]","[1634083200000, 1061829863954.1321]","[1634083200000, 40021384610.698265]"
191,"[1634169600000, 57487.985880422195]","[1634169600000, 1083366079898.5513]","[1634169600000, 41216945749.34656]"
192,"[1634256000000, 57452.43178503547]","[1634256000000, 1082900149762.5826]","[1634256000000, 35994603913.188385]"
193,"[1634342400000, 61809.02394427028]","[1634342400000, 1164782155730.3254]","[1634342400000, 53653355008.40819]"
194,"[1634428800000, 61165.63564211521]","[1634428800000, 1153847028824.7434]","[1634428800000, 35385452268.77726]"
195,"[1634515200000, 61583.77443961336]","[1634515200000, 1160650121141.9934]","[1634515200000, 29625957541.677635]"
196,"[1634601600000, 62017.972725178704]","[1634601600000, 1173944883529.633]","[1634601600000, 39610183787.235275]"
197,"[1634688000000, 64517.64856042277]","[1634688000000, 1217582580302.557]","[1634688000000, 42550624869.2941]"
198,"[1634774400000, 66237.51755029388]","[1634774400000, 1250376460615.7495]","[1634774400000, 40790757381.601654]"
199,"[1634860800000, 62541.08693293518]","[1634860800000, 1178926819140.8179]","[1634860800000, 48709960685.53348]"
200,"[1634947200000, 61029.27093182092]","[1634947200000, 1151508584004.7793]","[1634947200000, 40766460604.96904]"
201,"[1635033600000, 61572.14043422243]","[1635033600000, 1161166467847.4336]","[1635033600000, 28505039147.788773]"
202,"[1635120000000, 61173.1663907232]","[1635120000000, 1153315262663.0586]","[1635120000000, 29982535557.40278]"
203,"[1635206400000, 63228.21382584213]","[1635206400000, 1192131994832.5864]","[1635206400000, 30852852368.02752]"
204,"[1635292800000, 60604.18888794746]","[1635292800000, 1143497865064.6724]","[1635292800000, 33233702858.09473]"
205,"[1635379200000, 58641.00147419492]","[1635379200000, 1105754837660.925]","[1635379200000, 43976252157.068634]"
206,"[1635465600000, 60767.55585206728]","[1635465600000, 1145912030969.1882]","[1635465600000, 52318597556.794624]"
207,"[1635552000000, 62283.19805587354]","[1635552000000, 1178047465292.3657]","[1635552000000, 38648967244.95182]"
208,"[1635638400000, 61837.257002978935]","[1635638400000, 1166423768409.5984]","[1635638400000, 31810216329.529858]"
209,"[1635724800000, 61471.86846276259]","[1635724800000, 1159841954948.4832]","[1635724800000, 32494948460.791386]"
210,"[1635811200000, 61121.83120106507]","[1635811200000, 1152831210803.7048]","[1635811200000, 35834742028.38199]"
211,"[1635897600000, 63247.20896127831]","[1635897600000, 1186951581189.4705]","[1635897600000, 37335066460.155334]"
212,"[1635984000000, 63130.94235171542]","[1635984000000, 1187048124213.9268]","[1635984000000, 36561444796.93016]"
213,"[1636070400000, 61601.74357204975]","[1636070400000, 1157101738112.7314]","[1636070400000, 33152275947.43255]"
214,"[1636156800000, 61247.38494217787]","[1636156800000, 1154530569293.3604]","[1636156800000, 31182137447.967434]"
215,"[1636243200000, 61661.35866372036]","[1636243200000, 1162489871875.4807]","[1636243200000, 31423601393.173405]"
216,"[1636329600000, 63153.230193019495]","[1636329600000, 1191631271447.797]","[1636329600000, 24877902989.784378]"
217,"[1636416000000, 67617.0155448617]","[1636416000000, 1278797895528.3608]","[1636416000000, 105426313891.40913]"
218,"[1636502400000, 67145.37493537061]","[1636502400000, 1268116896159.246]","[1636502400000, 41207912437.79217]"
219,"[1636588800000, 65061.05440696283]","[1636588800000, 1221681091090.6301]","[1636588800000, 48648563669.37678]"
220,"[1636675200000, 65005.64515956679]","[1636675200000, 1228606858156.6921]","[1636675200000, 35457583783.213585]"
221,"[1636761600000, 64432.04794734522]","[1636761600000, 1215930166022.9006]","[1636761600000, 36872626217.741356]"
222,"[1636848000000, 64660.33535267343]","[1636848000000, 1220299721850.586]","[1636848000000, 29677693457.31651]"
223,"[1636934400000, 65648.97779110243]","[1636934400000, 1239021452560.904]","[1636934400000, 26088449436.717113]"
224,"[1637020800000, 63933.835442599324]","[1637020800000, 1206711952537.9358]","[1637020800000, 32107212452.298412]"
225,"[1637107200000, 60448.56251258625]","[1637107200000, 1141910823555.9597]","[1637107200000, 48978396010.968155]"
226,"[1637193600000, 60603.65586738653]","[1637193600000, 1138136620641.4888]","[1637193600000, 39200729529.48786]"
227,"[1637280000000, 56987.32233855049]","[1637280000000, 1075758915731.0365]","[1637280000000, 41828523861.71753]"
228,"[1637366400000, 58459.25551667463]","[1637366400000, 1103594176399.3167]","[1637366400000, 37851259606.14217]"
229,"[1637452800000, 60082.91166841709]","[1637452800000, 1134300362589.2896]","[1637452800000, 29676550711.713173]"
230,"[1637539200000, 59139.779279527174]","[1637539200000, 1120610791475.7502]","[1637539200000, 25743426946.961926]"
231,"[1637625600000, 56386.856853152145]","[1637625600000, 1064619437494.1869]","[1637625600000, 34001467918.52828]"
232,"[1637712000000, 57748.79317378856]","[1637712000000, 1090380950871.23]","[1637712000000, 36421192856.53637]"
233,"[1637798400000, 57198.18384629529]","[1637798400000, 1080039673037.4923]","[1637798400000, 31695369987.85105]"
234,"[1637884800000, 58897.84698299794]","[1637884800000, 1112182356756.767]","[1637884800000, 33721097081.419792]"
235,"[1637971200000, 53827.792865034724]","[1637971200000, 1016487054819.7161]","[1637971200000, 41325811946.27098]"
236,"[1638057600000, 54533.40388242691]","[1638057600000, 1030781591912.8181]","[1638057600000, 28256851067.70268]"
237,"[1638144000000, 57237.66113709043]","[1638144000000, 1080980050980.763]","[1638144000000, 27659464986.73885]"
238,"[1638230400000, 57848.77353712989]","[1638230400000, 1092574224475.6908]","[1638230400000, 30985196646.76598]"
239,"[1638316800000, 57011.28047424234]","[1638316800000, 1076804436724.3245]","[1638316800000, 35723038603.83064]"
240,"[1638403200000, 57169.37199381056]","[1638403200000, 1079838995016.5873]","[1638403200000, 49383073891.00049]"
241,"[1638489600000, 56508.26805402271]","[1638489600000, 1067406204922.5636]","[1638489600000, 36296342256.75686]"
242,"[1638576000000, 53785.96717237922]","[1638576000000, 1016040747069.7008]","[1638576000000, 39527112725.92275]"
243,"[1638662400000, 49161.99070957517]","[1638662400000, 930097457941.656]","[1638662400000, 55941408415.03649]"
244,"[1638748800000, 49268.46989053938]","[1638748800000, 932015145132.0604]","[1638748800000, 32826574574.44167]"
245,"[1638835200000, 50461.57683653979]","[1638835200000, 953396710269.5476]","[1638835200000, 36126018721.826546]"
246,"[1638921600000, 50647.66340635755]","[1638921600000, 956961313925.818]","[1638921600000, 30083305919.5604]"
247,"[1639008000000, 50530.4580645934]","[1639008000000, 954800139986.473]","[1639008000000, 26590164539.05959]"
248,"[1639094400000, 47885.871989417064]","[1639094400000, 904878061656.8508]","[1639094400000, 27269362515.246876]"
249,"[1639180800000, 47303.56415217411]","[1639180800000, 893919955029.865]","[1639180800000, 29611257204.740986]"
250,"[1639267200000, 49242.302324071476]","[1639267200000, 930603779263.9766]","[1639267200000, 24619129766.774235]"
251,"[1639353600000, 50051.078348674855]","[1639353600000, 945932497231.4797]","[1639353600000, 19871029748.355583]"
252,"[1639440000000, 46696.30469946678]","[1639440000000, 882570058436.5184]","[1639440000000, 29628245402.124134]"
253,"[1639526400000, 48410.564656309325]","[1639526400000, 915015634616.989]","[1639526400000, 30152105689.95273]"
254,"[1639612800000, 48936.86258244155]","[1639612800000, 925006387197.2257]","[1639612800000, 33782603071.208714]"
255,"[1639699200000, 47694.530502251764]","[1639699200000, 901558072618.6224]","[1639699200000, 24699414443.565502]"
256,"[1639785600000, 46328.6963654447]","[1639785600000, 875783175210.4042]","[1639785600000, 30617760444.44956]"
257,"[1639872000000, 46970.057050727024]","[1639872000000, 887944269264.0427]","[1639872000000, 23305069269.64378]"
258,"[1639958400000, 46807.04861642627]","[1639958400000, 884905649263.6449]","[1639958400000, 23002876885.701263]"
259,"[1640044800000, 47117.008204210455]","[1640044800000, 890808857615.3627]","[1640044800000, 29356191956.181854]"
260,"[1640131200000, 49145.21725849885]","[1640131200000, 929203956014.2224]","[1640131200000, 25764127608.31085]"
261,"[1640217600000, 48755.89564404483]","[1640217600000, 921888029984.8673]","[1640217600000, 21887790445.928295]"
262,"[1640304000000, 50900.61494951601]","[1640304000000, 960809259355.0854]","[1640304000000, 26419703744.656948]"
263,"[1640390400000, 50888.72103678683]","[1640390400000, 962312381228.0947]","[1640390400000, 22535489970.197155]"
264,"[1640476800000, 50663.48710213215]","[1640476800000, 958099737762.7762]","[1640476800000, 17235296605.82555]"
265,"[1640563200000, 50852.860259540656]","[1640563200000, 961723851972.3851]","[1640563200000, 19632044502.131416]"
266,"[1640649600000, 50774.067814743]","[1640649600000, 960280703699.8921]","[1640649600000, 22793878136.833546]"
267,"[1640736000000, 47725.14804631933]","[1640736000000, 902655839568.4547]","[1640736000000, 29538983233.48695]"
268,"[1640822400000, 46506.99464767938]","[1640822400000, 874314106559.5542]","[1640822400000, 26348739119.378136]"
269,"[1640908800000, 47191.86838983951]","[1640908800000, 892648631305.5416]","[1640908800000, 23753871435.216618]"
270,"[1640995200000, 46319.65108805251]","[1640995200000, 876192941903.0961]","[1640995200000, 25895349604.886154]"
271,"[1641081600000, 47816.07767640849]","[1641081600000, 904551946917.3206]","[1641081600000, 18904585811.03402]"
272,"[1641168000000, 47387.212167697246]","[1641168000000, 897536090320.9355]","[1641168000000, 33756128241.98571]"
273,"[1641254400000, 46531.140860530526]","[1641254400000, 880330191985.1965]","[1641254400000, 21890019531.577713]"
274,"[1641340800000, 45938.02427172366]","[1641340800000, 876242689666.1957]","[1641340800000, 24895990583.663242]"
275,"[1641427200000, 43647.147508068054]","[1641427200000, 827723202715.1049]","[1641427200000, 31837641246.01787]"
276,"[1641513600000, 43216.45867693359]","[1641513600000, 819522879407.0583]","[1641513600000, 26366602396.811768]"
277,"[1641600000000, 41527.197042644846]","[1641600000000, 787735561341.1113]","[1641600000000, 79685254648.07628]"
278,"[1641686400000, 41756.66232397826]","[1641686400000, 792892599975.9554]","[1641686400000, 23337017232.770664]"
279,"[1641772800000, 41862.3609856517]","[1641772800000, 791648558214.5575]","[1641772800000, 18016718173.608612]"
280,"[1641859200000, 41869.85905559219]","[1641859200000, 792407724467.5966]","[1641859200000, 27984634062.049942]"
281,"[1641945600000, 42777.211020482355]","[1641945600000, 809621515508.4065]","[1641945600000, 22813557397.82151]"
282,"[1642032000000, 43981.87732717414]","[1642032000000, 832460077955.3481]","[1642032000000, 28250302540.221024]"
283,"[1642118400000, 42608.41001195019]","[1642118400000, 806510860231.8285]","[1642118400000, 43905745871.292786]"
284,"[1642204800000, 43120.85451108056]","[1642204800000, 816129314317.4397]","[1642204800000, 20238314434.86153]"
285,"[1642291200000, 43226.65026980921]","[1642291200000, 816800318526.6782]","[1642291200000, 14651008624.734596]"
286,"[1642377600000, 43119.79214308028]","[1642377600000, 816325578941.135]","[1642377600000, 14452346388.550371]"
287,"[1642464000000, 42298.341116872325]","[1642464000000, 800822650383.9624]","[1642464000000, 17694929625.845875]"
288,"[1642550400000, 42395.45879157343]","[1642550400000, 803962100417.9756]","[1642550400000, 18897950050.285973]"
289,"[1642636800000, 41749.55143098559]","[1642636800000, 790507925308.7825]","[1642636800000, 19626113309.554142]"
290,"[1642723200000, 40707.6824143097]","[1642723200000, 774235809673.4731]","[1642723200000, 20930163211.171124]"
291,"[1642809600000, 36508.799789830824]","[1642809600000, 692855029162.9379]","[1642809600000, 38296960033.31628]"
292,"[1642896000000, 35180.435462830384]","[1642896000000, 666220701468.4846]","[1642896000000, 35517336417.257744]"
293,"[1642982400000, 36306.409440464704]","[1642982400000, 687575973800.0704]","[1642982400000, 22865032968.608204]"
294,"[1643068800000, 36774.00714224005]","[1643068800000, 696465421899.37]","[1643068800000, 36385158448.60688]"
295,"[1643155200000, 36988.928510667356]","[1643155200000, 700571452648.8236]","[1643155200000, 46168918584.85349]"
296,"[1643241600000, 36870.440166930995]","[1643241600000, 700165819656.2855]","[1643241600000, 26756873749.744743]"
297,"[1643328000000, 37276.839558174994]","[1643328000000, 702311456032.8538]","[1643328000000, 22057410457.280827]"
298,"[1643414400000, 37852.57902803263]","[1643414400000, 717026944842.8334]","[1643414400000, 19214103304.052933]"
299,"[1643500800000, 38232.17873217708]","[1643500800000, 722829009646.1814]","[1643500800000, 14178650231.62196]"
300,"[1643587200000, 37983.151499406464]","[1643587200000, 719570142321.8397]","[1643587200000, 11807185113.633108]"
301,"[1643673600000, 38555.53446121157]","[1643673600000, 727905398095.9747]","[1643673600000, 17731563487.283978]"
302,"[1643760000000, 38835.69494322237]","[1643760000000, 736102274236.6057]","[1643760000000, 17109120250.158987]"
303,"[1643846400000, 37000.98249864199]","[1643846400000, 700645616423.8325]","[1643846400000, 16709908527.231106]"
304,"[1643932800000, 37101.351593780935]","[1643932800000, 703003347951.7092]","[1643932800000, 16136299994.837618]"
305,"[1644019200000, 41673.8395543094]","[1644019200000, 777355085535.6107]","[1644019200000, 25347215343.882504]"
