,prices,market_caps,total_volumes
142,"[1632009600000, 9.16539417836927]","[1632009600000, 21881146.623531498]","[1632009600000, 164571.96565497405]"
143,"[1632096000000, 11.378397985126904]","[1632096000000, 27266002.173454385]","[1632096000000, 973383.7427447533]"
144,"[1632182400000, 11.0712666378979]","[1632182400000, 26450341.610390663]","[1632182400000, 194553.65435710526]"
145,"[1632268800000, 11.42763938421171]","[1632268800000, 27379722.581143837]","[1632268800000, 397024.1711075753]"
146,"[1632355200000, 16.399225731490116]","[1632355200000, 38852058.20758572]","[1632355200000, 1472672.9069464512]"
147,"[1632441600000, 15.175715716078855]","[1632441600000, 36411101.83326583]","[1632441600000, 1290701.866829742]"
148,"[1632528000000, 14.613106341911589]","[1632528000000, 35256928.6039952]","[1632528000000, 938018.9885973014]"
149,"[1632614400000, 14.124352771775827]","[1632614400000, 34090380.1172229]","[1632614400000, 465673.4580360354]"
150,"[1632700800000, 12.9030600233502]","[1632700800000, 30813136.823292233]","[1632700800000, 658990.8341475691]"
151,"[1632787200000, 15.392832721806094]","[1632787200000, 37234609.42252531]","[1632787200000, 875453.883242145]"
152,"[1632873600000, 14.735137728659339]","[1632873600000, 35225279.17756202]","[1632873600000, 392609.5759512863]"
153,"[1632960000000, 15.11031659893948]","[1632960000000, 36456902.09719784]","[1632960000000, 416667.2572917476]"
154,"[1633046400000, 14.092186567151893]","[1633046400000, 34021764.359775566]","[1633046400000, 598418.363774887]"
155,"[1633132800000, 13.917427849066932]","[1633132800000, 33595292.522973076]","[1633132800000, 1227897.5629952014]"
156,"[1633219200000, 17.537028368595212]","[1633219200000, 42361666.03666615]","[1633219200000, 2338139.4962219]"
157,"[1633305600000, 18.144551573050506]","[1633305600000, 43823651.89418782]","[1633305600000, 805002.5593925144]"
158,"[1633392000000, 16.488848718439296]","[1633392000000, 40080877.337383926]","[1633392000000, 554358.6119560037]"
159,"[1633478400000, 17.491389094934146]","[1633478400000, 42603183.74073198]","[1633478400000, 322135.75856301695]"
160,"[1633564800000, 19.66083101167177]","[1633564800000, 47898482.068418324]","[1633564800000, 1265795.5594999613]"
161,"[1633651200000, 16.958260756385325]","[1633651200000, 41512655.91247459]","[1633651200000, 1048479.0165796827]"
162,"[1633737600000, 15.854338149753016]","[1633737600000, 39231305.07289882]","[1633737600000, 770408.6903886901]"
163,"[1633824000000, 16.569186733621052]","[1633824000000, 40960123.84362603]","[1633824000000, 368216.97496887995]"
164,"[1633910400000, 17.285801171724135]","[1633910400000, 42840900.63916526]","[1633910400000, 488545.62313961034]"
165,"[1633996800000, 19.9393607122602]","[1633996800000, 49592354.500456]","[1633996800000, 3060433.1056328057]"
166,"[1634083200000, 23.250842491286363]","[1634083200000, 58219470.81380634]","[1634083200000, 2194018.152309684]"
167,"[1634169600000, 36.13814658473083]","[1634169600000, 92289381.0807687]","[1634169600000, 12660354.17672704]"
168,"[1634256000000, 33.85233508248787]","[1634256000000, 86000035.42936417]","[1634256000000, 13371117.696734164]"
169,"[1634342400000, 27.594157681117224]","[1634342400000, 76392640.1528878]","[1634342400000, 4940333.465408115]"
170,"[1634428800000, 27.901398942927273]","[1634428800000, 77600308.07182528]","[1634428800000, 1653494.7057481715]"
171,"[1634515200000, 28.89632235015685]","[1634515200000, 79879557.02617663]","[1634515200000, 2946342.5986674954]"
172,"[1634601600000, 30.58874709160456]","[1634601600000, 84222046.79606561]","[1634601600000, 3748847.515720169]"
173,"[1634688000000, 28.262927023380943]","[1634688000000, 79335424.06177594]","[1634688000000, 3280233.2919903877]"
174,"[1634774400000, 25.554094538296326]","[1634774400000, 71485748.52950315]","[1634774400000, 3401051.306361416]"
175,"[1634860800000, 26.451457944887412]","[1634860800000, 73671147.49385753]","[1634860800000, 1528968.450861395]"
176,"[1634947200000, 26.360521551242474]","[1634947200000, 73641978.77145922]","[1634947200000, 962242.2734013834]"
177,"[1635033600000, 25.669380491956886]","[1635033600000, 71647560.70273988]","[1635033600000, 1131905.59754072]"
178,"[1635120000000, 23.758504552463275]","[1635120000000, 66340539.59100359]","[1635120000000, 934503.1944246641]"
179,"[1635206400000, 24.014062130068865]","[1635206400000, 67301533.18759254]","[1635206400000, 2141308.080038157]"
